District,Population
Srikakulam,2191471
Parvathipuram Manyam,925340
Vizianagaram,1930811
Visakhapatnam,1959544
Alluri Sitharama Raju,953960
Anakapalli,1726998
Kakinada,2092374
East Godavari,1832332
Dr. B. R. Ambedkar Konaseema,1719093
Eluru,2006737
West Godavari,1844898
NTR,2218591
Krishna,1735079
Palnadu,2041723
Guntur,2091075
Bapatla,1586918
Sri Potti Sriramulu Nellore,2469712
Prakasam,2288026
Kurnool,2271686
Nandyal,1781777
Anantapuramu,2241105
Sri Sathya Sai,1840043
YSR Kadapa,2060654
Annamayya,1697308
Tirupati,2196984
Chittoor,1872951
