District,Population,water_demand,,,,
Srikakulam,2191471,219.1506849,,,,
Parvathipuram Manyam,925340,92.52054795,,,,
Vizianagaram,1930811,193.0684932,,,,
Visakhapatnam,1959544,195.9452055,,,,
Alluri Sitharama Raju,953960,95.39726027,,,,
Anakapalli,1726998,172.7123288,,,,w
Kakinada,2092374,209.2328767,,,,
East Godavari,1832332,183.2328767,,,,365
Dr. B. R. Ambedkar Konaseema,1719093,171.9178082,,,,
Eluru,2006737,200.6849315,,,,
West Godavari,1844898,184.4931507,,,,
NTR,2218591,221.8630137,,,,
Krishna,1735079,173.5068493,,,,
Palnadu,2041723,204.1643836,,,,
Guntur,2091075,209.0958904,,,,
Bapatla,1586918,158.6849315,,,,
Sri Potti Sriramulu Nellore,2469712,246.9589041,,,,
Prakasam,2288026,228.7945205,,,,
Kurnool,2271686,227.1780822,,,,
Nandyal,1781777,178.1643836,,,,
Anantapuramu,2241105,224.109589,,,,
Sri Sathya Sai,1840043,184,,,,
YSR Kadapa,2060654,206.0547945,,,,
Annamayya,1697308,169.7260274,,,,
Tirupati,2196984,219.6986301,,,,
Chittoor,1872951,187.2876712,,,,
